15201	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01254.1682428200-1686627000.272-171:LOC
15201	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01254.1684836840-1685660400.272-171:LOC
15203	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01254.1682428200-1686627000.272-171:LOC
15203	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01254.1684836840-1685660400.272-171:LOC
15205	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01167.1683694800-1688785200.141-264:LOC
15271	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
15272	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
15287	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
15288	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
15505	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
15616	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
15617	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
16884	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC
17588	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01194.1683658860-1689994800.173-333:LOC
18070	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01807.1683686040-1685082840.N66-67:LOC
18720	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02205.1684094400-1704079800.98-227:LOC
18721	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02205.1684094400-1704079800.98-227:LOC
18722	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02205.1684094400-1704079800.98-227:LOC
18729	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01397.1683410400-1689321060.N23-60:LOC
18733	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01167.1683694800-1688785200.141-264:LOC
18784	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01335.1680033600-1685588400.524-270:LOC
