RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01122.1683727200-1685761200.91-202:LOC	\N	La ligne 91 est déviée : les arrêts situés entre Gare d'Austerlitz et Bastille ne sont plus desservis en direction de Gare du Nord. Reprise estimée : samedi 3 juin 2023, à partir de 03h00. Raison : travaux.	2023-05-11 07:04:08	2023-06-03 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01127.1684304760-1685122200.96-399:LOC	\N	La ligne 96 est déviée : les arrêts situés entre Ménilmontant - Pelleport et Belleville - Ménilmontant ne sont plus desservis en direction de Gare Montparnasse. Reprise estimée : vendredi 26 mai 2023, à partir de 17h30. Raison : travaux.	2023-05-17 07:38:08	2023-05-26 15:30:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01131.1684087200-1696129200.102-392:LOC	\N	L’arrêt Wilson - Gabriel Péri de la ligne 102 n'est pas desservi en direction de Rosny – Bois-Perrier <RER>. Reprise estimée : dimanche 1 octobre 2023, à partir de 03h00. Raison : travaux.	2023-05-24 10:56:05	2023-10-01 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01144.1684087200-1696129200.115-179:LOC	\N	La ligne 115 est déviée : les arrêts situés entre Croix de Chavaux - Rouget de Lisle et Fraternité ne sont plus desservis en direction de Château de Vincennes. Reprise estimée : dimanche 1 octobre 2023, à partir de 03h00. Raison : travaux.	2023-05-23 05:56:07	2023-10-01 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01145.1684746000-1693414800.116-60:LOC	\N	L’arrêt Boureau - Guérinière de la ligne 116 n'est pas desservi en direction de Champigny – Saint-Maur <RER>. Reprise estimée : mercredi 30 août 2023, à partir de 17h00. Raison : travaux.	2023-05-23 19:41:08	2023-08-30 15:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01165.1683009600-1691982000.139-326:LOC	\N	La ligne 139 est déviée : les arrêts situés entre Landy - Pleyel et Wilson - De Pressensé ne sont plus desservis en direction de Porte de la Villette. Reprise estimée : lundi 14 août 2023, à partir de 03h00. Raison : travaux.	2023-05-04 13:08:07	2023-08-14 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01165.1684382400-1691982000.139-326:LOC	\N	La ligne 139 est déviée : les arrêts situés entre Landy - Pleyel et Wilson - De Pressensé ne sont plus desservis en direction de Porte de la Villette. Reprise estimée : lundi 14 août 2023, à partir de 03h00. Raison : travaux.	2023-05-19 13:56:09	2023-08-14 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01167.1683694800-1688785200.141-264:LOC	\N	La ligne 141 est déviée : les arrêts situés entre Eugène Sue et Racine ne sont plus desservis en direction de Lycée de Rueil. Reprise estimée : samedi 8 juillet 2023, à partir de 03h00. Raison : travaux.	2023-05-22 07:37:08	2023-07-08 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC	\N	La ligne 148 est déviée : les arrêts situés entre Musée de l'Air et de l'Espace et Altrincham - Lénine ne sont plus desservis en direction de Bobigny – Pablo Picasso. Reprise estimée : 20h00. Raison : stationnement gênant.	2023-05-24 13:12:07	2023-05-24 18:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01185.1684596120-1735702200.163-319:LOC	\N	La ligne 163 est déviée : les arrêts situés entre Pereire et Villiers - Bineau ne sont plus desservis en direction de Nanterre – Préfecture <RER>. Reprise estimée : mercredi 1 janvier 2025 à 03h30. Raison : manifestation.	2023-05-24 10:39:07	2025-01-01 02:30:00
