426026	426025
426024	426025
18863	46243
40707	58830
19080	58810
38169	58810
38169	58810
40721	43494
40721	43494
19228	427268
19228	427268
2126	59181
39172	59208
39172	59208
19037	43256
19367	43256
483662	483663
483660	483661
483660	483661
3903	48529
26960	473425
486171	473425
472045	473425
472548	43145
23446	473751
21976	44828
11058	52672
486101	486102
35988	59106
486077	486078
482709	482710
482709	482710
22087	42587
463159	42587
463060	42587
422537	463834
482774	463834
41401	463834
426200	463834
15979	44379
15978	44379
477629	477678
22091	470524
18560	473409
18560	473409
472000	43137
38923	44985
4675	48734
486068	48734
29848	473765
29886	473765
30012	473765
35946	473766
480839	56704
37989	42884
419717	42884
17236	56428
419637	473582
14898	55123
413034	43032
28980	426071
29028	43637
32514	53986
32512	53989
485652	53009
478581	53009
11874	53009
478575	53009
11875	53009
478582	53009
15156	47195
15156	47195
37945	473339
472420	47876
41099	47876
13181	48100
478339	48100
36154	54929
23371	54929
481016	481004
12994	53747
12993	53747
39283	53145
411621	53927
8358	44647
8057	42242
2562	47799
13123	42697
8537	477480
17139	47681
17132	47683
2530	47683
17215	46310
2394	46309
478338	422405
478338	422405
422407	422405
472112	473387
472112	473387
17378	473387
17378	473387
41362	47684
477370	43047
484363	484364
17012	43855
2747	43855
16999	47672
36565	44835
36591	42146
24987	46610
427145	46610
30188	46610
29164	46610
36325	51751
485937	485936
485935	485936
8545	473876
8545	473876
17288	473876
17288	473876
472460	43226
471373	43226
8633	473291
411321	47879
413366	47497
25664	47497
470994	47897
411368	47897
8976	473085
21759	473085
8708	473085
8604	473085
9058	473085
485310	485975
485189	485190
474142	474354
9385	470182
22735	427327
36949	474148
480288	480289
480341	480289
26966	473544
471345	43203
415428	58838
3668	58838
20130	462229
24708	46662
413284	44612
480629	51080
11848	52997
30137	462839
5838	45062
32524	420191
416437	42627
32530	43983
13660	43983
35370	43807
35370	43807
462130	462124
11859	43578
416693	50727
27344	46436
24511	46326
23313	44937
19935	50544
22353	50544
36256	50544
463317	45170
35849	473206
485970	463897
480103	463897
479947	480365
485959	45633
26301	45634
6595	49447
477705	477706
463268	44962
427602	50518
472912	473855
472912	473855
16730	473855
16730	473855
41049	43211
12753	426989
12752	53385
6587	462097
462090	49442
6274	47440
6170	49285
12122	47735
12096	43012
12161	43012
22333	43012
36944	58742
27072	58742
22365	44371
41261	473326
12129	42746
12267	42746
472397	47581
470660	47582
463046	43153
463197	43153
22494	473216
40031	473218
40031	473218
22839	473218
471520	470195
472033	470195
471548	470195
472015	470195
470915	470195
485953	49174
5872	49174
5872	49174
11924	53032
485950	485948
19904	57558
12155	42999
12186	43314
8195	50837
8197	50835
17142	44870
478330	56525
2618	44419
17266	42152
13141	42152
17305	56444
17279	56436
17048	46314
2526	422925
471212	47924
411250	473033
17335	56479
19352	46205
485832	485833
477290	43430
18930	46202
480503	52882
2852	44963
485864	485865
11364	52817
11327	43795
485911	485917
6360	49358
6360	49358
6361	49358
6361	49358
5985	49204
6173	473270
6173	473270
5567	49075
5470	49034
471641	43206
9436	44776
9436	44776
7037	49888
421937	44244
9429	44710
33410	44710
21852	58195
21848	58193
21847	58193
21846	58192
33406	44629
7039	44498
6956	49868
9982	52108
33320	43802
3863	45750
3907	48530
6952	49866
477313	49866
