ZdAId	ZdAName	ZdATown	ZdAPostalRegion
473498	Gare de Les Noues	Goussainville	95280
473610	Gare du Vert Galant	Tremblay-en-France	93073
478504	Juvisy RER	Juvisy-sur-Orge	91326
55120	Radio	Villecresnes	94075
473798	Gare de Boissy-Saint-Léger	Boissy-Saint-Léger	94004
473606	Gare des Chantiers - États Généraux / Abbé Rousseaux	Versailles	78646
462585	Eden	Servon	77450
486395	Gare des Ardoines	Vitry-sur-Seine	94081
44280	Patte d'Oie	Vigneux-sur-Seine	91657
42341	Blazy	Viry-Châtillon	91687
42985	Gaston Viens	Orly	94054
43628	Le Cor de Chasse - La Belle Epine	Thiais	94073
473722	Pyrénées - Belleville	Paris 19e	75119
419301	Petit Tremblay	Tremblay-en-France	93073
47380	Place de la Paix	Suresnes	92073
473460	Porte de la Chapelle	Paris 18e	75118
473238	Saint-Augustin	Paris 8e	75108
48457	Mairie	Villejust	91666
47605	Foch	Herblay	95306
486213	Jacques Cottin	Pantin	93055
49741	Henri Mondor	Aulnay-sous-Bois	93005
478713	Denis Papin	Gretz-Armainvilliers	77215
478949	Clinique	Tournan-en-Brie	77470
59135	De Gaulle	Tournan-en-Brie	77470
47160	Monument aux Morts	Nangis	77327
47210	Maréchal Foch	Tournan-en-Brie	77470
47208	Val Bréon - Conforama	Châtres	77104
478723	Zac de la Terre Rouge	Tournan-en-Brie	77470
58272	Messidor - Libertés	Bonneuil-sur-Marne	94011
45022	Victor Hugo	Gretz-Armainvilliers	77215
47671	Hôtel de Ville	Combs-la-Ville	77122
44028	Mairie	Solers	77457
44017	Mairie	Châtres	77104
46573	Belle Croix	Ozoir-la-Ferrière	77350
426937	Les Myosotis	Brie-Comte-Robert	77053
485291	Rue de Meaux	Guignes	77222
56207	Campanules	Ozoir-la-Ferrière	77350
56210	Val des Dames	Tournan-en-Brie	77470
56213	Eglise	Ozoir-la-Ferrière	77350
58886	Alfred de Vigny	Gretz-Armainvilliers	77215
56224	Mairie	Ozoir-la-Ferrière	77350
56233	Poirier	Ozoir-la-Ferrière	77350
56240	La Brosse	Presles-en-Brie	77377
56157	Gros Bois	Crèvecœur-en-Brie	77144
56173	Ombrages Parc	Gretz-Armainvilliers	77215
56175	Pierre et Marie Curie	Gretz-Armainvilliers	77215
56170	Avenue des Fresnes	Gretz-Armainvilliers	77215
56197	Stade	Neufmoutiers-en-Brie	77336
56193	Ecole	Liverdy-en-Brie	77254
44365	Place Augereau	La Houssaye-en-Brie	77229
474343	Route Ferme d'Arcy	Chaumes-en-Brie	77107
58931	Centre Commercial Bonneuil	Bonneuil-sur-Marne	94011
56254	Hardillières	Soignolles-en-Brie	77455
56262	Penthievre	Tournan-en-Brie	77470
56267	Poste	Tournan-en-Brie	77470
56278	Hameau de Retal	Liverdy-en-Brie	77254
55117	Place Charlotte	Lésigny	77249
55114	Collège La Guinette	Villecresnes	94075
55127	Rue Foreau	Villecresnes	94075
55134	Hyverneaux	Lésigny	77249
55132	Haie Griselle	Boissy-Saint-Léger	94004
55140	Maison pour Tous	Brie-Comte-Robert	77053
44443	Place Saint-Jean	Melun	77288
426344	Poincaré	Tournan-en-Brie	77470
44523	Porte de Paris	Melun	77288
55161	Villemeneux	Brie-Comte-Robert	77053
43331	ZI Centre Commercial	Brie-Comte-Robert	77053
43337	Gymnase	Brie-Comte-Robert	77053
43322	Gros Chêne	Boissy-Saint-Léger	94004
55560	Quai de la Courtille	Melun	77288
42239	Auberge	Bréau	77052
42440	Caron	Marles-en-Brie	77277
43720	Chênes	Brie-Comte-Robert	77053
43863	Lycée Henri Becquerel	Nangis	77327
43846	Lycée Tour des Dames	Rozay-en-Brie	77393
43837	Lycée Blaise Pascal RD 319	Brie-Comte-Robert	77053
473826	Gare de l'Est (Parvis)	Paris 10e	75110
43987	Mairie	Gastins	77201
43912	Mairie	Villecresnes	94075
42794	Croix Rouge	Mandres-les-Roses	94047
42798	Croix Saint-Pierre	Marles-en-Brie	77277
473648	Pointe du Lac	Créteil	94028
42713	Institution Nazareth	Voisenon	77528
473354	Gare de Melun	Melun	77288
473466	Rosny-sous-Bois RER	Rosny-sous-Bois	93064
473407	Mormant	Mormant	77317
49268	RN19	Coubert	77127
49249	Mairie	La Chapelle-Iger	77087
49210	Pécqueux	Aubepierre-Ozouer-le-Repos	77010
49209	Salle des Fêtes	Andrezel	77004
49312	Grand Bréau	Courpalay	77135
49306	Victor Hugo	Coulommiers	77131
49396	Petit Moisenay	Moisenay	77295
49380	Nesles Château d'Eau	Lumigny-Nesles-Ormeaux	77264
49383	Place	Maincy	77269
49351	Montbrieux	Guérard	77219
49349	Courtry Château d'Eau	Guérard	77219
49340	8 Grande Rue	Gastins	77201
49333	Place	Faremoutiers	77176
49331	Les Bordes	Faremoutiers	77176
51629	La Louveterie	Saint-Augustin	77400
49431	Mairie	Le Plessis-Feu-Aussoux	77365
49428	Station Service	Pézarches	77360
49406	Boulangerie	Mortcerf	77318
49404	Lady Lavoir	Mormant	77317
49539	Rigny	Lumigny-Nesles-Ormeaux	77264
49527	Mairie	Pécy	77357
49518	Granvillé	Aubepierre-Ozouer-le-Repos	77010
49519	Courfruit	Aubepierre-Ozouer-le-Repos	77010
486230	Gymnase	Ermont	95219
57688	Zone d'Activités	Les Loges-en-Josas	78343
473849	Robinson RER	Sceaux	92071
473607	Gare de Versailles Château Rive Gauche	Versailles	78646
422354	La Poste	Cormeilles-en-Parisis	95176
486166	Collège Lucie Aubrac	Clichy-sous-Bois	93014
57347	Collège Claude Debussy	Aulnay-sous-Bois	93005
46213	Chemin de Savigny	Sevran	93071
42205	Anizan Cavillon - Hôtel de ville	Le Bourget	93013
473532	Gare de Saint-Denis RER (Rue Charles Michels)	Saint-Denis	93066
42309	La Belle Étoile	Saint-Maurice-Montcouronne	91568
48314	Baville	Saint-Chéron	91540
48247	Église	Mauchamps	91378
48135	Zone Industrielle	Bruyères-le-Châtel	91115
48476	Buisson Rondeau	Breuillet	91105
48481	Badaudière	Breuillet	91105
48113	Salvador Allende	Boissy-sous-Saint-Yon	91085
48111	Facteur Cheval	Boissy-sous-Saint-Yon	91085
51994	Rue des Cognassiers	Coignières	78168
418914	Université Vauban - d'Alembert	Montigny-le-Bretonneux	78423
477262	Gare routière de Versailles Chantiers	Versailles	78646
58509	Lavoisier	Maurepas	78383
47838	Place	Châteaufort	78143
44134	Mérantais	Magny-les-Hameaux	78356
473258	Coignières	Coignières	78168
44078	Marcel Cerdan	Élancourt	78208
46835	Jardins du Coeur	Villepreux	78674
44230	Pablo Picasso	Plaisir	78490
44213	Nouvelle Amsterdam	Élancourt	78208
46864	Calvaire	Thiverval-Grignon	78615
44363	Place du 14 Juillet	Saint-Rémy-lès-Chevreuse	78575
43034	Fritz Lang	Bois-d'Arcy	78073
43021	France Miniature	Élancourt	78208
424097	Châtaigneraie	Plaisir	78490
462310	Collège de Coignières	Coignières	78168
44286	Paul Éluard	Guyancourt	78297
57744	Hôtel de Ville	Trappes	78621
57745	République Paul Vaillant Couturier	Trappes	78621
57751	Allée des Yvelines	Trappes	78621
57765	Allée de la Garonne	Élancourt	78208
57766	Cornouaille	Maurepas	78383
57762	La Noël	Guyancourt	78297
57764	Les Nouveaux Horizons	Élancourt	78208
57781	Les Quatre Arbres	Élancourt	78208
57786	Diderot	Élancourt	78208
57791	Bergson	Montigny-le-Bretonneux	78423
57792	Les Arcades du Lac	Montigny-le-Bretonneux	78423
57799	Le Buisson de la Couldre	Montigny-le-Bretonneux	78423
57736	Hypermarché	Maurepas	78383
426367	Rond-Point des Saules	Guyancourt	78297
57864	Mendès-France	Magny-les-Hameaux	78356
57860	Van Gogh	Magny-les-Hameaux	78356
57863	Chemin de la Chapelle	Magny-les-Hameaux	78356
57878	Hodebourg	Magny-les-Hameaux	78356
57871	Villeneuve	Magny-les-Hameaux	78356
57873	E. Viollet-le-Duc	Guyancourt	78297
57874	Hélène Boucher	Voisins-le-Bretonneux	78688
57880	Les Portiques	Guyancourt	78297
57881	Grande Île	Voisins-le-Bretonneux	78688
57886	Hôtel de Ville	Guyancourt	78297
57883	Avenue de la Pyramide	Voisins-le-Bretonneux	78688
57897	Le Val Saint-Quentin	Voisins-le-Bretonneux	78688
57893	Robert Surcouf	Voisins-le-Bretonneux	78688
43290	Gérard Philipe	Guyancourt	78297
57801	Niepce	Montigny-le-Bretonneux	78423
57807	Le Verger Saint-Martin	Montigny-le-Bretonneux	78423
57808	Les Quatre Pavés	Montigny-le-Bretonneux	78423
57802	Méliès - Croix Bonnet	Bois-d'Arcy	78073
43262	Gay Lussac	Élancourt	78208
57814	Hennequin	Trappes	78621
57816	Copernic	Trappes	78621
57823	Pythagore	Trappes	78621
57842	Jean Rostand	Trappes	78621
57844	Erik Satie	Montigny-le-Bretonneux	78423
57853	Tilleuls	Voisins-le-Bretonneux	78688
57854	Parc de Port Royal	Voisins-le-Bretonneux	78688
57850	Les Pépinières	Voisins-le-Bretonneux	78688
57851	Voisins Centre	Voisins-le-Bretonneux	78688
57858	Parc d'Activités de Gomberville	Magny-les-Hameaux	78356
57917	Ferme des Roses	Le Mesnil-Saint-Denis	78397
57919	Avenue de Noailles	Le Mesnil-Saint-Denis	78397
57914	Bois Robert	Guyancourt	78297
57920	Place Henri IV	Le Mesnil-Saint-Denis	78397
43451	Jean Macé	Saint-Cyr-l'École	78545
43486	Jules Ferry	Les Clayes-sous-Bois	78165
43575	La Petite Villedieu	Élancourt	78208
42224	Armorique	Maurepas	78383
43500	L'Etang (Technocentre)	Guyancourt	78297
43507	La Bataille	Plaisir	78490
42297	Beauplan	Saint-Rémy-lès-Chevreuse	78575
43624	Le Château	Guyancourt	78297
43739	Les Grands Jardins	Plaisir	78490
43725	Les Deux Ponts	Saint-Cyr-l'École	78545
42502	SQY Ouest	Montigny-le-Bretonneux	78423
53397	Place Etienne Marcel	Montigny-le-Bretonneux	78423
473547	Saint-Quentin - Gare routière Paul Delouvrier	Montigny-le-Bretonneux	78423
461534	Saint-Quentin Gare	Montigny-le-Bretonneux	78423
42880	Ecole Bizet	Saint-Cyr-l'École	78545
49190	Pierre Brossolette	Plaisir	78490
49168	Boissière	Plaisir	78490
49162	Marie Hillion	Plaisir	78490
49147	Abel Guyet	Plaisir	78490
49126	Graviers	Fontenay-le-Fleury	78242
49111	Docteur Vaillant	Les Clayes-sous-Bois	78165
483562	Vaugirard	Villepreux	78674
57675	Trois Canards	Les Loges-en-Josas	78343
57677	Sainte-Suzanne	Jouy-en-Josas	78322
48661	Route de Chevreuse	Châteaufort	78143
44410	Place du Garde	Clamart	92023
48790	Place de la Mairie	Villiers-le-Bâcle	91679
44223	Orme des Merisiers	Saint-Aubin	91538
58703	Mare Chevalier	Toussus-le-Noble	78620
43845	Lycée Essouriau	Les Ulis	91692
43413	Lieu de Vie	Orsay	91471
58689	La Perruche	Châteaufort	78143
57673	La Garenne	Les Loges-en-Josas	78343
48787	Billehou	Villiers-le-Bâcle	91679
57671	Pont Saint-Martin	Versailles	78646
473609	Gare de Versailles - Rive Droite	Versailles	78646
46702	Gare des Chantiers - Cour de Buc	Versailles	78646
47535	Marché	Ermont	95219
57224	Grand Dôme / Atlantique	Villebon-sur-Yvette	91661
50844	La Fontaine	Champlan	91136
51551	Roland Garros	Buc	78117
48646	Haut Pré	Buc	78117
48650	Croix Blanche	Buc	78117
48641	Audemars	Buc	78117
48752	Gruerie	Gif-sur-Yvette	91272
58393	Fond Fanet	Gif-sur-Yvette	91272
48745	Belleville 1	Gif-sur-Yvette	91272
48705	Village	Milon-la-Chapelle	78406
52655	Rademont	Vendrest	77490
52653	Eglise / École	Vendrest	77490
52638	Rutel	Tancrou	77460
52583	Mairie	Ocquerre	77343
52534	Place de l'Eglise / École	Marcilly	77274
52525	Place Harouard / École Henri Dès	Lizy-sur-Ourcq	77257
52514	Mairie	Jaignes	77235
52478	La Ramée	Douy-la-Ramée	77163
52475	Mairie	Dhuisy	77157
52428	Crépoil	Cocherel	77120
427268	André Citroën	Aulnay-sous-Bois	93005
47036	Louison Bobet (Val de Fontenay RER)	Fontenay-sous-Bois	94033
427326	Montceleux	Sevran	93071
49779	Colongo	Tremblay-en-France	93073
49737	RD 88	Tremblay-en-France	93073
49734	Petits Ponts	Tremblay-en-France	93073
49732	Verdun	Mitry-Mory	77294
49739	Vercors	Villepinte	93078
46207	Collège Georges Brassens	Sevran	93071
46169	Charles Floquet	Aulnay-sous-Bois	93005
46162	Docteur Calmette	Le Blanc-Mesnil	93007
46150	Audran	Le Blanc-Mesnil	93007
46143	Jacques Joly	Drancy	93029
46140	Abbé Niort	Le Blanc-Mesnil	93007
46136	Jean Monnet	Le Bourget	93013
46197	Kennedy Charcot	Sevran	93071
46187	Paul Langevin	Aulnay-sous-Bois	93005
46174	Marceau	Aulnay-sous-Bois	93005
46173	Marcel Sembat	Aulnay-sous-Bois	93005
46170	Stade du Moulin Neuf	Aulnay-sous-Bois	93005
477215	Segro Logistics Park	Aulnay-sous-Bois	93005
46262	Aéroville	Tremblay-en-France	93073
46260	351 Avenue du Bois de la Pie	Roissy-en-France	95527
46258	372 rue de la belle Etoile	Roissy-en-France	95527
46252	33 rue des Chardonnerets	Tremblay-en-France	93073
46234	Lilas	Aulnay-sous-Bois	93005
46228	Mare Neuve	Vaujours	93074
46223	Place Pierre Bérégovoy	Villepinte	93078
45038	Villageoise	Bondy	93010
45090	Zone Technique	Roissy-en-France	95527
46526	Ballet	Aulnay-sous-Bois	93005
57332	Claude Nicolas Ledoux	Villepinte	93078
57284	Francisco Ferrer	Aulnay-sous-Bois	93005
57286	Route de Gonesse	Aulnay-sous-Bois	93005
46724	Béarn	Tremblay-en-France	93073
46710	Apollinaire	Sevran	93071
57410	Concorde	Drancy	93029
57426	Ecole Jules Ferry	Tremblay-en-France	93073
57427	Bretagne	Vaujours	93074
46760	Camille Desmoulins	Aulnay-sous-Bois	93005
46754	Edouard Branly	Aulnay-sous-Bois	93005
46755	Piscine	Aulnay-sous-Bois	93005
463865	Bobigny - Pablo Picasso	Bobigny	93008
44039	Hôtel de Ville / Mairie	Le Blanc-Mesnil	93007
57343	Henri Becquerel	Aulnay-sous-Bois	93005
57346	Condé Circulaire	Aulnay-sous-Bois	93005
57351	Sainte-Anne	Aulnay-sous-Bois	93005
57356	Plant d'Argent	Aulnay-sous-Bois	93005
57383	Jacques Salomon	Le Blanc-Mesnil	93007
57385	Legendre	Aulnay-sous-Bois	93005
57399	Havre	Aulnay-sous-Bois	93005
44256	Centre Commercial O'Parinor	Aulnay-sous-Bois	93005
44229	Pablo Neruda	Mitry-Mory	77294
58829	Garonor Entrée 4	Aulnay-sous-Bois	93005
57469	Centre d'Activités CDG	Tremblay-en-France	93073
44340	Pierre Curie	Le Bourget	93013
44299	Pavé	Tremblay-en-France	93073
44289	Paul Vaillant Couturier	La Courneuve	93027
44422	Place Henri Barbusse	Tremblay-en-France	93073
44436	Place Pierre Curie	Tremblay-en-France	93073
44569	Primevères	Sevran	93071
43393	Centre Postal / Hub Postal	Tremblay-en-France	93073
42185	Altrincham	Le Blanc-Mesnil	93007
43494	Jussieu	Villepinte	93078
56743	Chemin Notre-Dame	Dugny	93030
44705	Route de l'Arpenteur	Roissy-en-France	95527
43571	La Paix	Tremblay-en-France	93073
42248	Marcos	Le Blanc-Mesnil	93007
44898	Stade Jean Jaurès	Tremblay-en-France	93073
44818	Schuman	Villepinte	93078
43676	Lefèvre	Aulnay-sous-Bois	93005
44999	Vélodrome (cours Salvador Allende)	Aulnay-sous-Bois	93005
44951	Tour de Contrôle	Roissy-en-France	95527
43601	Lamartine	Bobigny	93008
44927	Aéroport CDG - Terminal 2 (Route de service)	Tremblay-en-France	93073
43767	Les Mousseaux	Villepinte	93078
42417	Lenglen	Aulnay-sous-Bois	93005
43867	Lycée Jean Zay / Lycée d'Aulnay	Aulnay-sous-Bois	93005
43842	Lycée Claude Nicolas Ledoux	Les Pavillons-sous-Bois	93057
42764	Cosmonautes	Le Blanc-Mesnil	93007
42896	Edouard Vaillant - Carnot	Bondy	93010
54840	ZA Péripole / De Lattre de Tassigny	Fontenay-sous-Bois	94033
42843	Descartes - Renault	Le Blanc-Mesnil	93007
42818	Danielle Casanova	Le Blanc-Mesnil	93007
42924	Eglise du Bourget / Eglise Saint-Nicolas	Le Bourget	93013
42961	Espace V	Villepinte	93078
51127	Rue des 2 Soeurs	Roissy-en-France	95527
420252	Lycée Léonard De Vinci	Tremblay-en-France	93073
50562	Jardins de la Noue	Le Blanc-Mesnil	93007
48720	Vallée	Saint-Rémy-lès-Chevreuse	78575
486120	Bourg École	Cocherel	77120
486109	École primaire	Crouy-sur-Ourcq	77148
486078	École	Chambry	77077
482710	Ecole	Douy-la-Ramée	77163
53990	Reine Astrid	Aubergenville	78029
56704	Tivoli	Rambouillet	78517
52701	Place de l'Eglise	Germigny-sous-Coulombs	77204
48100	Dumay Delille	Montgeron	91421
45430	Mirabeau	Paris 16e	75116
42242	Audra	Colombes	92025
422403	Avenue de Sénart	Montgeron	91421
485936	Clos des Peintres	Yerres	91691
485934	Chalandray	Yerres	91691
473291	Gare de Neuville Université	Neuville-sur-Oise	95450
47497	Petit Clos - Rosiers	Sarcelles	95585
485975	Cours Saint-Emilion	Paris 12e	75112
473544	Gare de Saint-Ouen	Saint-Ouen	93070
462376	Pereire	Paris 17e	75117
44612	République	Gennevilliers	92036
462839	Diane Arbus	Paris 18e	75118
42627	Cimetière	Aubergenville	78029
462033	Place de la Carpe	Viry-Châtillon	91687
51289	Rue de Neuilly	Clichy	92024
473206	Trinité	Paris 9e	75109
50518	Aristide Briand	Drancy	93029
473855	Gare de Vaires Torcy	Vaires-sur-Marne	77479
53385	Stade Léo Lagrange	Chaville	92022
47581	Méry-sur-Oise / Camille Plaquet	Méry-sur-Oise	95394
473216	Gare de Lyon - Diderot	Paris 12e	75112
49174	Mairie / Centre	Saulx-Marchais	78588
473219	Gare de Lyon - Maison de la RATP	Paris 12e	75112
53032	Mauregard	Épinay-sur-Orge	91216
51987	Vallée des Fosses	Bazainville	78048
47981	Châtillon	Draveil	91201
482484	Rue de Seine	Juvisy-sur-Orge	91326
422925	Glacière	Montgeron	91421
42233	Atlantique 1	Les Ulis	91692
485890	Bosquet	Les Ulis	91692
485869	Andes - Cap-Horn	Les Ulis	91692
485917	Alliés - Berteaux	Palaiseau	91477
55766	Palaiseau Ville	Palaiseau	91477
46202	Ernest Pivot	Sevran	93071
47572	Docteur Roux	Taverny	95607
473583	Gare de Taverny	Taverny	95607
54183	Rue de Saint-Prix	Eaubonne	95203
49888	Rue Bourgoin / Saintry Entrée	Saintry-sur-Seine	91577
58193	Bois de Fourcherolles	Palaiseau	91477
44498	Port aux Sablons	Saintry-sur-Seine	91577
49868	Mairie	Étiolles	91225
52108	Louise De France	Étiolles	91225
49866	La Fontaine	Étiolles	91225
58940	Arts Martiaux	Étiolles	91225
44832	Simone Signoret	Saint-Pierre-du-Perray	91573
416127	Rue Degas	Saint-Germain-lès-Corbeil	91553
44655	Rochefort	Saint-Germain-lès-Corbeil	91553
49881	Puget	Saint-Germain-lès-Corbeil	91553
49880	Les Prés Hauts	Saint-Germain-lès-Corbeil	91553
49879	Le Golf	Saint-Germain-lès-Corbeil	91553
42766	Cosmonautes - Stalingrad	Palaiseau	91477
424105	Coeur de Bourg	Tigery	91617
47010	Palaiseau RER - Edouard Branly	Palaiseau	91477
420236	Collège La Tuilerie	Saint-Germain-lès-Corbeil	91553
44258	Parking Crété	Corbeil-Essonnes	91174
52918	Parc Chabrol	Palaiseau	91477
485692	Abribus	Puiselet-le-Marais	91508
58201	La Butte à la Reine	Palaiseau	91477
52912	La Pie Voleuse - Église	Palaiseau	91477
47109	Résidence de Guinette	Étampes	91223
44986	Vallée Collin	Étampes	91223
485702	Boulevard des Alliés	Maisse	91359
485689	Bois Champbault	Abbéville-la-Rivière	91001
480274	Mesnil-Girault	Boissy-la-Rivière	91079
47114	Marie Curie	Étampes	91223
52992	Hôtel de Ville / Mairie	La Ferté-Alais	91232
53025	Mairie	Cheptainville	91156
51724	Stade	Mennecy	91386
43876	Lycée Marie Laurencin	Mennecy	91386
485884	Simone Veil	Les Ulis	91692
45573	Pajol - Riquet	Paris 18e	75118
414736	Danton Stade	Ozoir-la-Ferrière	77350
421252	Croix de Bois	Herblay	95306
427125	Commanderie	Coulommiers	77131
57413	Collège Pablo Neruda	Gagny	93032
43928	Mairie des Ulis - Place de la Liberté	Les Ulis	91692
52803	Hautes Plaines	Les Ulis	91692
48860	Les Amonts	Les Ulis	91692
51114	Collège Henri Wallon	Garges-lès-Gonesse	95268
52911	Parc d'Ardenay / Collège César Franck	Palaiseau	91477
54195	Clos Normand	Médan	78384
55393	Cité Timbert	Montcourt-Fromonville	77302
48768	Chaumusson	Limours	91338
49321	Mairie	Dagny	77151
56304	Chasse	Chelles	77108
46457	Champs Fourgons	Gennevilliers	92036
42530	Lycée / Champ de Courses	Dourdan	91200
58302	Centre Hospitalier	Jossigny	77237
58304	Centre de Radiologie	Montévrain	77307
49628	Gendarmerie	Fosses	95250
42483	Centre Commercial / Mairie	Fosses	95250
483896	Centre Commercial	Étréchy	91226
47975	Centre Aéré	Draveil	91201
55840	Cabane Noire / Montévrain	Montévrain	77307
58301	Buffard	Montévrain	77307
59384	Amélie	Villeneuve-Saint-Georges	94078
46315	Désiré Bois	Crosne	91191
46309	Polyclinique	Crosne	91191
47674	Poste	Brunoy	91114
419805	Val Fleuri	Brunoy	91114
473036	Gare de Brunoy	Brunoy	91114
56415	Espérance	Brunoy	91114
56417	Cimetière	Montgeron	91421
56438	Corneille	Yerres	91691
56439	Relais Forestier	Yerres	91691
56446	Sablière	Yerres	91691
56453	Albert Camus	Brunoy	91114
56478	Avenue du Parc	Brunoy	91114
56480	Petit Château	Brunoy	91114
56485	Sablière	Brunoy	91114
56401	Mairie	Boussy-Saint-Antoine	91097
56402	Justice	Boussy-Saint-Antoine	91097
56400	Bizet	Quincy-sous-Sénart	91514
56406	Châtaigneraie	Brunoy	91114
426364	Cerisiers	Mandres-les-Roses	94047
56530	Bel Air	Boussy-Saint-Antoine	91097
56532	La Champagne	Périgny	94056
56555	Croix de Jarcy	Varennes-Jarcy	91631
56553	Boieldieu	Varennes-Jarcy	91631
56583	Henri Barbusse	Yerres	91691
56586	Brossolette	Yerres	91691
56593	Germaine	Yerres	91691
56596	Grosbois	Yerres	91691
56604	Préventorium	Yerres	91691
43348	Hautes Mardelles	Brunoy	91114
422400	Piscine	Montgeron	91421
473879	Rond-Point Wittlich	Brunoy	91114
53428	ZAC de la Couture	Combs-la-Ville	77122
462641	Etoile	Villecresnes	94075
54838	Picuré	Yerres	91691
483806	Saint-Pierre Fourier	Brunoy	91114
485842	Provence - Drouot	Paris 9e	75109
51391	Bois du Fief	Saint-Ouen-l'Aumône	95572
462782	Belle Epine Sud	Thiais	94073
54243	Bazincourt	Verneuil-sur-Seine	78642
463538	Port de l'Arsenal / Port Henri IV	Paris 4e	75104
45689	Bastille - Henri IV	Paris 4e	75104
58574	Bastille - Rue Saint-Antoine	Paris 4e	75104
42289	Bastille - Faubourg Saint-Antoine	Paris 11e	75111
43992	Mairie	Gentilly	94037
49999	Les Audigers	Boutigny-sur-Essonne	91099
50048	La Lieue	Valpuiseaux	91629
477296	Romain Rolland	Clichy-sous-Bois	93014
42723	Collège Romain Rolland	Clichy-sous-Bois	93014
45858	Chemin du Trousseau	Ris-Orangis	91521
473612	Gare de Villabé	Villabé	91659
43338	Gymnase	Igny	91312
48409	Maison Rouge	Villiers-sur-Orge	91685
59173	Mascadées	Longpont-sur-Orge	91347
480601	Quatre Vents	Villemoisson-sur-Orge	91667
47038	Henri Dunant	Villebon-sur-Yvette	91661
52873	Place des Suisses	Villebon-sur-Yvette	91661
53061	Séquigny	Sainte-Geneviève-des-Bois	91549
42678	Collège Albert Camus	La Norville	91457
53046	Place des Monseaux	Épinay-sur-Orge	91216
482606	Parc Leblanc	Viry-Châtillon	91687
48442	Vernet	Ollainville	91461
48535	Rue des Perdrix	Ris-Orangis	91521
479780	Villiers	Longpont-sur-Orge	91347
52975	Etoile Stalingrad	Sainte-Geneviève-des-Bois	91549
52996	Jardin Public	Sainte-Geneviève-des-Bois	91549
48229	Paradis	Longpont-sur-Orge	91347
424400	Roses	Saint-Michel-sur-Orge	91570
48208	Petit Paris	Brétigny-sur-Orge	91103
42396	Brigeollet	Angerville	91016
48106	Mairie	Ballainvilliers	91044
48107	Rue du Parc	Ballainvilliers	91044
48108	Le Rotoir	Boissy-le-Sec	91081
48110	Venant	Boissy-le-Sec	91081
48116	Tilleul	Boutervilliers	91098
48144	Les Morandières	Chalo-Saint-Mars	91130
48149	Monument aux Morts	Chalou-Moulineux	91131
473044	Gare de Dourdan (Gare routière)	Dourdan	91200
48157	Avenue des Grenots	Étampes	91223
48159	Base de Loisirs	Étampes	91223
483393	Chasseurs	Étampes	91223
48163	Clos Albert	Étampes	91223
47111	Cottages	Étampes	91223
47106	Gaston Beau	Étampes	91223
473541	Gare de Saint-Martin d'Étampes	Étampes	91223
48169	Haut Pavé	Étampes	91223
48181	Pierrefitte	Saint-Hilaire	91556
48185	Sablons	Étampes	91223
44876	Saint-Michel	Étampes	91223
48188	Sous-Préfecture	Étampes	91223
48309	Colas	Roinville	91525
48233	Etang Neuf	Marcoussis	91363
48239	La Guillère	Marcoussis	91363
48358	Buhoterie	Saulx-les-Chartreux	91587
48242	Le Mesnil	Marcoussis	91363
48364	Mairie	Saulx-les-Chartreux	91587
48249	Aubray	Mérobert	91393
48250	Château d'Eau	Mérobert	91393
48252	Les Vignes	Mérobert	91393
48263	Impasse des Prés	Morigny-Champigny	91433
48375	Montflix	Sermaise	91593
48385	Cimetière	Villeconin	91662
48386	Fourchainville	Villeconin	91662
48387	Saudreville	Villeconin	91662
48270	Notre-Dame des Prés	Morigny-Champigny	91433
415491	Villarceaux	Nozay	91458
48300	Saint-Pierre	Nozay	91458
48402	Chemin Vert	Villejust	91666
48407	Le Rocher	Villejust	91666
48452	Jean de La Fontaine	Morigny-Champigny	91433
44616	République	Orsay	91471
48462	Frères Kennedy	Étréchy	91226
48464	Tassigny	Étréchy	91226
52807	Montlhéry	Orsay	91471
48471	Château	Chamarande	91132
44786	Ruelle aux Anglais	Auvers-Saint-Georges	91038
52294	S. Carnot	Saulx-les-Chartreux	91587
58185	Clinique de l'Yvette	Longjumeau	91345
422070	La Folie Bessin - L'Orme à Moineaux	Villejust	91666
425684	Coquerive Haut	Étampes	91223
462547	Hameau du Plateau	Roinville	91525
48859	LFB	Les Ulis	91692
44963	Tropique	Les Ulis	91692
480427	Les Gaillardes	Saulx-les-Chartreux	91587
473497	Gare des Mureaux	Les Mureaux	78440
58519	Louison Bobet	Levallois-Perret	92044
50627	Rosenberg	Bagneux	92007
46328	Médiathèque / Légion d'Honneur	Saint-Denis	93066
44415	Place du Vel'd'Hiv	Les Lilas	93045
47231	Gambetta - André Laurent	Fontenay-sous-Bois	94033
50504	Eugène Sue	Rueil-Malmaison	92063
47396	Cimetière du Mont Valérien	Nanterre	92050
45909	Paul Doumer	Arcueil	94003
45910	Bibliothèque	Arcueil	94003
46155	Madelon	Drancy	93029
413700	Marmontel	Thiais	94073
44977	Vache Noire - Centre Commercial	Arcueil	94003
51653	Bois l'Abbé	Chennevières-sur-Marne	94019
485801	Chemin de Villiers	Épinay-sur-Orge	91216
483388	Perray Vaucluse	Épinay-sur-Orge	91216
44447	Plainchamp	Nanterre	92050
46612	Gabriel Péri	Nanterre	92050
55725	Voltaire	Montereau-Fault-Yonne	77305
44879	Saint-Nicolas	Montereau-Fault-Yonne	77305
55733	Rue Grande	Samoreau	77442
55702	Rue Foch	Chartrettes	77096
