ZdAId	ZdAName	ZdATown	ZdAPostalRegion
50459	Comète	Asnières-sur-Seine	92004
50460	Rue des Champs	Asnières-sur-Seine	92004
50408	Quai du Point du Jour	Boulogne-Billancourt	92012
50842	Pierre Curie	Palaiseau	91477
57010	Mutualité	Athis-Mons	91027
57014	Les Oiseaux	Athis-Mons	91027
44042	Mairie	Juvisy-sur-Orge	91326
57940	Ampère Sud	Massy	91377
57947	Le Stade	Morangis	91432
51038	Meuniers	Savigny-sur-Orge	91589
51055	Pierre Brossolette	Morangis	91432
51224	Palombes	Juvisy-sur-Orge	91326
51227	Les Fontaines	Athis-Mons	91027
50359	Boulevard du 1er Mai	Massy	91377
478373	Edouard Branly / Pierre Edouard	Viroflay	78686
50925	Mairie	Champs-sur-Marne	77083
50930	Ferme du Couvent	Torcy	77468
47257	Flandres - Dunkerque 1940	Champs-sur-Marne	77083
50892	Les Campanules	Lognes	77258
47270	La Mare à Blondeau	Croissy-Beaubourg	77146
58287	Malnoue - Bois des Souches	Émerainville	77169
58225	Les 2 Lacs	Émerainville	77169
58391	Albert Berthelot	Champs-sur-Marne	77083
463335	Rue de la Ferme	Lognes	77258
44611	République	Vaires-sur-Marne	77479
43926	Mairie	Chelles	77108
461497	Sous-Préfecture	Torcy	77468
51203	Henri Aubry	Croissy-Beaubourg	77146
51207	Cours du Buisson	Croissy-Beaubourg	77146
479999	Rue des Moines	Paris 17e	75117
464013	Place du Maroc	Paris 19e	75119
478406	Parc de Bagatelle	Paris 16e	75116
478415	Les Cascades	Paris 16e	75116
45009	Vergniaud - Tolbiac	Paris 13e	75113
58535	Serpollet	Paris 20e	75120
45226	Louis Braille	Paris 12e	75112
45202	Gymnase Japy	Paris 11e	75111
45178	Sambre et Meuse	Paris 10e	75110
45359	Rue Leblanc	Paris 15e	75115
45343	Rue Rouelle	Paris 15e	75115
45344	Théâtre	Paris 15e	75115
463775	Quai d'Austerlitz	Paris 13e	75113
462451	Reims-Pitet	Paris 17e	75117
45269	Bibliothèque Nationale de France	Paris 13e	75113
45265	Pascal	Paris 13e	75113
45240	Pont National - Quai De Bercy	Paris 12e	75112
58596	Gabrielle	Paris 18e	75118
58733	Nation - Diderot	Paris 12e	75112
58741	Verlaine	Paris 13e	75113
45448	Louis Boilly	Paris 16e	75116
45422	Théophile Gautier - Rue Gros	Paris 16e	75116
45413	Jean Bologne	Paris 16e	75116
45414	Place de Passy	Paris 16e	75116
45389	Miollis	Paris 15e	75115
45388	Fondary	Paris 15e	75115
45370	Boulevard Victor	Paris 15e	75115
45361	Saint-Charles - Balard	Paris 15e	75115
463811	Pierre Foncin	Paris 20e	75120
45511	Pierre Demours	Paris 17e	75117
45517	Pereire - Tocqueville	Paris 17e	75117
45592	Duchesne - Bollaert	Paris 19e	75119
45578	Curial - Archereau	Paris 19e	75119
45566	Saules - Cortot / Les Vignes	Paris 18e	75118
45563	Place du Tertre - Norvins	Paris 18e	75118
45551	Abreuvoir - Girardon	Paris 18e	75118
45536	Boucry	Paris 18e	75118
45497	Curnonsky	Paris 17e	75117
